date,price
7/18/10,0.0858
7/19/10,0.0808
7/20/10,0.0747
7/21/10,0.0792
7/22/10,0.0505
7/23/10,0.0626
7/24/10,0.0545
7/25/10,0.0505
7/26/10,0.056
7/27/10,0.06
7/28/10,0.0589
7/29/10,0.0699
7/30/10,0.0627
7/31/10,0.0679
8/1/10,0.0611
8/2/10,0.06
8/3/10,0.06
8/4/10,0.057
8/5/10,0.061
8/6/10,0.0623
8/7/10,0.059
8/8/10,0.0609
8/9/10,0.071
8/10/10,0.07
8/11/10,0.067
8/12/10,0.07
8/13/10,0.0645
8/14/10,0.067
8/15/10,0.0653
8/16/10,0.0655
8/17/10,0.07
8/18/10,0.068
8/19/10,0.0667
8/20/10,0.0655
8/21/10,0.0664
8/22/10,0.066
8/23/10,0.0649
8/24/10,0.065
8/25/10,0.0648
8/26/10,0.064
8/27/10,0.065
8/28/10,0.0641
8/29/10,0.064
8/30/10,0.065
8/31/10,0.06
9/1/10,0.0629
9/2/10,0.0634
9/3/10,0.0609
9/4/10,0.0624
9/5/10,0.0616
9/6/10,0.0616
9/7/10,0.061
9/8/10,0.062
9/9/10,0.0611
9/10/10,0.0618
9/11/10,0.0637
9/12/10,0.0615
9/13/10,0.0622
9/14/10,0.062
9/15/10,0.0604
9/16/10,0.0619
9/17/10,0.059
9/18/10,0.061
9/19/10,0.0627
9/20/10,0.0621
9/21/10,0.0627
9/22/10,0.0622
9/23/10,0.0623
9/24/10,0.0622
9/25/10,0.062
9/26/10,0.062
9/27/10,0.0622
9/28/10,0.0619
9/29/10,0.0619
9/30/10,0.0619
10/1/10,0.062
10/2/10,0.0614
10/3/10,0.0611
10/4/10,0.0613
10/5/10,0.0614
10/6/10,0.0628
10/7/10,0.067
10/8/10,0.0869
10/9/10,0.0938
10/10/10,0.0965
10/11/10,0.095
10/12/10,0.0949
10/13/10,0.105
10/14/10,0.102
10/15/10,0.105
10/16/10,0.101
10/17/10,0.102
10/18/10,0.1024
10/19/10,0.097
10/20/10,0.099
10/21/10,0.107
10/22/10,0.1025
10/23/10,0.1055
10/24/10,0.115
10/25/10,0.132
10/26/10,0.1503
10/27/10,0.1877
10/28/10,0.1731
10/29/10,0.19
10/30/10,0.1989
10/31/10,0.1925
11/1/10,0.1955
11/2/10,0.1938
11/3/10,0.1931
11/4/10,0.23
11/5/10,0.26
11/6/10,0.39
11/7/10,0.34
11/8/10,0.243
11/9/10,0.21
11/10/10,0.24
11/11/10,0.2231
11/12/10,0.2682
11/13/10,0.276
11/14/10,0.279
