"","Date","Pool","Number of Blocks","Percentage of Blocks"
"1",2009-01-10,"Unknown",14,100
"2",2009-01-11,"Unknown",61,100
"3",2009-01-12,"Unknown",93,100
"4",2009-01-13,"Unknown",94,100
"5",2009-01-14,"Unknown",123,100
"6",2009-01-15,"Unknown",129,100
"7",2009-01-16,"Unknown",126,100
"8",2009-01-17,"Unknown",108,100
"9",2009-01-18,"Unknown",109,100
"10",2009-01-19,"Unknown",107,100
"11",2009-01-20,"Unknown",115,100
"12",2009-01-21,"Unknown",114,100
"13",2009-01-22,"Unknown",102,100
"14",2009-01-23,"Unknown",91,100
"15",2009-01-24,"Unknown",84,100
"16",2009-01-25,"Unknown",201,100
"17",2009-01-26,"Unknown",191,100
"18",2009-01-27,"Unknown",96,100
"19",2009-01-28,"Unknown",97,100
"20",2009-01-29,"Unknown",112,100
"21",2009-01-30,"Unknown",121,100
"22",2009-01-31,"Unknown",117,100
"23",2009-02-01,"Unknown",138,100
"24",2009-02-02,"Unknown",113,100
"25",2009-02-03,"Unknown",128,100
"26",2009-02-04,"Unknown",139,100
"27",2009-02-05,"Unknown",119,100
"28",2009-02-06,"Unknown",126,100
"29",2009-02-07,"Unknown",122,100
"30",2009-02-08,"Unknown",129,100
"31",2009-02-09,"Unknown",132,100
"32",2009-02-10,"Unknown",134,100
"33",2009-02-11,"Unknown",120,100
"34",2009-02-12,"Unknown",133,100
"35",2009-02-13,"Unknown",119,100
"36",2009-02-14,"Unknown",124,100
"37",2009-02-15,"Unknown",136,100
"38",2009-02-16,"Unknown",128,100
"39",2009-02-17,"Unknown",122,100
"40",2009-02-18,"Unknown",117,100
"41",2009-02-19,"Unknown",118,100
"42",2009-02-20,"Unknown",124,100
"43",2009-02-21,"Unknown",122,100
"44",2009-02-22,"Unknown",114,100
"45",2009-02-23,"Unknown",121,100
"46",2009-02-24,"Unknown",108,100
"47",2009-02-25,"Unknown",106,100
"48",2009-02-26,"Unknown",105,100
"49",2009-02-27,"Unknown",107,100
"50",2009-02-28,"Unknown",115,100
"51",2009-03-01,"Unknown",99,100
"52",2009-03-02,"Unknown",105,100
"53",2009-03-03,"Unknown",108,100
"54",2009-03-04,"Unknown",105,100
"55",2009-03-05,"Unknown",104,100
"56",2009-03-06,"Unknown",112,100
"57",2009-03-07,"Unknown",117,100
"58",2009-03-08,"Unknown",109,100
"59",2009-03-09,"Unknown",115,100
"60",2009-03-10,"Unknown",108,100
"61",2009-03-11,"Unknown",107,100
"62",2009-03-12,"Unknown",114,100
"63",2009-03-13,"Unknown",118,100
"64",2009-03-14,"Unknown",113,100
"65",2009-03-15,"Unknown",110,100
"66",2009-03-16,"Unknown",123,100
"67",2009-03-17,"Unknown",121,100
"68",2009-03-18,"Unknown",114,100
"69",2009-03-19,"Unknown",114,100
"70",2009-03-20,"Unknown",122,100
"71",2009-03-21,"Unknown",118,100
"72",2009-03-22,"Unknown",50,100
"73",2009-03-23,"Unknown",119,100
"74",2009-03-24,"Unknown",130,100
"75",2009-03-25,"Unknown",105,100
"76",2009-03-26,"Unknown",117,100
"77",2009-03-27,"Unknown",117,100
"78",2009-03-28,"Unknown",106,100
"79",2009-03-29,"Unknown",119,100
"80",2009-03-30,"Unknown",116,100
"81",2009-03-31,"Unknown",120,100
"82",2009-04-01,"Unknown",110,100
"83",2009-04-02,"Unknown",114,100
"84",2009-04-03,"Unknown",115,100
"85",2009-04-04,"Unknown",116,100
"86",2009-04-05,"Unknown",113,100
"87",2009-04-06,"Unknown",130,100
"88",2009-04-07,"Unknown",109,100
"89",2009-04-08,"Unknown",100,100
"90",2009-04-09,"Unknown",105,100
"91",2009-04-10,"Unknown",99,100
"92",2009-04-11,"Unknown",108,100
"93",2009-04-12,"Unknown",120,100
"94",2009-04-13,"Unknown",118,100
"95",2009-04-14,"Unknown",115,100
"96",2009-04-15,"Unknown",124,100
"97",2009-04-16,"Unknown",113,100
"98",2009-04-17,"Unknown",123,100
"99",2009-04-18,"Unknown",112,100
"100",2009-04-19,"Unknown",126,100
"101",2009-04-20,"Unknown",119,100
"102",2009-04-21,"Unknown",119,100
"103",2009-04-22,"Unknown",123,100
"104",2009-04-23,"Unknown",121,100
"105",2009-04-24,"Unknown",75,100
"106",2009-04-25,"Unknown",115,100
"107",2009-04-26,"Unknown",118,100
"108",2009-04-27,"Unknown",112,100
"109",2009-04-28,"Unknown",104,100
"110",2009-04-29,"Unknown",117,100
"111",2009-04-30,"Unknown",128,100
"112",2009-05-01,"Unknown",131,100
"113",2009-05-02,"Unknown",121,100
"114",2009-05-03,"Unknown",126,100
"115",2009-05-04,"Unknown",106,100
"116",2009-05-05,"Unknown",128,100
"117",2009-05-06,"Unknown",135,100
"118",2009-05-07,"Unknown",135,100
"119",2009-05-08,"Unknown",122,100
"120",2009-05-09,"Unknown",107,100
"121",2009-05-10,"Unknown",78,100
"122",2009-05-11,"Unknown",85,100
"123",2009-05-12,"Unknown",120,100
"124",2009-05-13,"Unknown",130,100
"125",2009-05-14,"Unknown",111,100
"126",2009-05-15,"Unknown",139,100
"127",2009-05-16,"Unknown",136,100
"128",2009-05-17,"Unknown",119,100
"129",2009-05-18,"Unknown",127,100
"130",2009-05-19,"Unknown",118,100
"131",2009-05-20,"Unknown",86,100
"132",2009-05-21,"Unknown",120,100
"133",2009-05-22,"Unknown",82,100
"134",2009-05-23,"Unknown",61,100
"135",2009-05-24,"Unknown",32,100
"136",2009-05-25,"Unknown",100,100
"137",2009-05-26,"Unknown",109,100
"138",2009-05-27,"Unknown",125,100
"139",2009-05-28,"Unknown",119,100
"140",2009-05-29,"Unknown",95,100
"141",2009-05-30,"Unknown",106,100
"142",2009-05-31,"Unknown",109,100
"143",2009-06-01,"Unknown",96,100
"144",2009-06-02,"Unknown",71,100
"145",2009-06-03,"Unknown",111,100
"146",2009-06-04,"Unknown",71,100
"147",2009-06-05,"Unknown",66,100
"148",2009-06-06,"Unknown",30,100
"149",2009-06-07,"Unknown",28,100
"150",2009-06-08,"Unknown",16,100
"151",2009-06-09,"Unknown",82,100
"152",2009-06-10,"Unknown",91,100
"153",2009-06-11,"Unknown",82,100
"154",2009-06-12,"Unknown",89,100
"155",2009-06-13,"Unknown",86,100
"156",2009-06-14,"Unknown",78,100
"157",2009-06-15,"Unknown",72,100
"158",2009-06-16,"Unknown",84,100
"159",2009-06-17,"Unknown",71,100
"160",2009-06-18,"Unknown",79,100
"161",2009-06-19,"Unknown",80,100
"162",2009-06-20,"Unknown",87,100
"163",2009-06-21,"Unknown",78,100
"164",2009-06-22,"Unknown",81,100
"165",2009-06-23,"Unknown",76,100
"166",2009-06-24,"Unknown",76,100
"167",2009-06-25,"Unknown",95,100
"168",2009-06-26,"Unknown",68,100
"169",2009-06-27,"Unknown",90,100
"170",2009-06-28,"Unknown",84,100
"171",2009-06-29,"Unknown",46,100
"172",2009-06-30,"Unknown",83,100
"173",2009-07-01,"Unknown",85,100
"174",2009-07-02,"Unknown",74,100
"175",2009-07-03,"Unknown",83,100
"176",2009-07-04,"Unknown",82,100
"177",2009-07-05,"Unknown",89,100
"178",2009-07-06,"Unknown",79,100
"179",2009-07-07,"Unknown",84,100
"180",2009-07-08,"Unknown",69,100
"181",2009-07-09,"Unknown",74,100
"182",2009-07-10,"Unknown",86,100
"183",2009-07-11,"Unknown",81,100
"184",2009-07-12,"Unknown",83,100
"185",2009-07-13,"Unknown",77,100
"186",2009-07-14,"Unknown",78,100
"187",2009-07-15,"Unknown",69,100
"188",2009-07-16,"Unknown",45,100
"189",2009-07-17,"Unknown",71,100
"190",2009-07-18,"Unknown",47,100
"191",2009-07-19,"Unknown",4,100
"192",2009-07-20,"Unknown",70,100
"193",2009-07-21,"Unknown",70,100
"194",2009-07-22,"Unknown",82,100
"195",2009-07-23,"Unknown",60,100
"196",2009-07-24,"Unknown",76,100
"197",2009-07-25,"Unknown",73,100
"198",2009-07-26,"Unknown",32,100
"199",2009-07-27,"Unknown",21,100
"200",2009-07-28,"Unknown",74,100
"201",2009-07-29,"Unknown",41,100
"202",2009-07-30,"Unknown",19,100
"203",2009-07-31,"Unknown",15,100
"204",2009-08-01,"Unknown",17,100
"205",2009-08-02,"Unknown",28,100
"206",2009-08-03,"Unknown",23,100
"207",2009-08-04,"Unknown",12,100
"208",2009-08-05,"Unknown",81,100
"209",2009-08-06,"Unknown",87,100
"210",2009-08-07,"Unknown",90,100
"211",2009-08-08,"Unknown",80,100
"212",2009-08-09,"Unknown",80,100
"213",2009-08-10,"Unknown",101,100
"214",2009-08-11,"Unknown",75,100
"215",2009-08-12,"Unknown",70,100
"216",2009-08-13,"Unknown",63,100
"217",2009-08-14,"Unknown",85,100
"218",2009-08-15,"Unknown",63,100
"219",2009-08-16,"Unknown",26,100
"220",2009-08-17,"Unknown",19,100
"221",2009-08-18,"Unknown",17,100
"222",2009-08-19,"Unknown",10,100
"223",2009-08-20,"Unknown",18,100
"224",2009-08-21,"Unknown",22,100
"225",2009-08-22,"Unknown",14,100
"226",2009-08-23,"Unknown",7,100
"227",2009-08-24,"Unknown",15,100
"228",2009-08-25,"Unknown",15,100
"229",2009-08-26,"Unknown",50,100
"230",2009-08-27,"Unknown",48,100
"231",2009-08-28,"Unknown",29,100
"232",2009-08-29,"Unknown",75,100
"233",2009-08-30,"Unknown",79,100
"234",2009-08-31,"Unknown",96,100
"235",2009-09-01,"Unknown",86,100
"236",2009-09-02,"Unknown",78,100
"237",2009-09-03,"Unknown",66,100
"238",2009-09-04,"Unknown",61,100
"239",2009-09-05,"Unknown",64,100
"240",2009-09-06,"Unknown",76,100
"241",2009-09-07,"Unknown",68,100
"242",2009-09-08,"Unknown",78,100
"243",2009-09-09,"Unknown",69,100
"244",2009-09-10,"Unknown",54,100
"245",2009-09-11,"Unknown",67,100
"246",2009-09-12,"Unknown",67,100
"247",2009-09-13,"Unknown",69,100
"248",2009-09-14,"Unknown",75,100
"249",2009-09-15,"Unknown",74,100
"250",2009-09-16,"Unknown",44,100
"251",2009-09-17,"Unknown",72,100
"252",2009-09-18,"Unknown",84,100
"253",2009-09-19,"Unknown",78,100
"254",2009-09-20,"Unknown",74,100
"255",2009-09-21,"Unknown",78,100
"256",2009-09-22,"Unknown",69,100
"257",2009-09-23,"Unknown",25,100
"258",2009-09-24,"Unknown",36,100
"259",2009-09-25,"Unknown",97,100
"260",2009-09-26,"Unknown",91,100
"261",2009-09-27,"Unknown",100,100
"262",2009-09-28,"Unknown",87,100
"263",2009-09-29,"Unknown",85,100
"264",2009-09-30,"Unknown",88,100
"265",2009-10-01,"Unknown",85,100
"266",2009-10-02,"Unknown",82,100
"267",2009-10-03,"Unknown",72,100
"268",2009-10-04,"Unknown",58,100
"269",2009-10-05,"Unknown",53,100
"270",2009-10-06,"Unknown",55,100
"271",2009-10-07,"Unknown",43,100
"272",2009-10-08,"Unknown",60,100
"273",2009-10-09,"Unknown",70,100
"274",2009-10-10,"Unknown",79,100
"275",2009-10-11,"Unknown",77,100
"276",2009-10-12,"Unknown",74,100
"277",2009-10-13,"Unknown",58,100
"278",2009-10-14,"Unknown",57,100
"279",2009-10-15,"Unknown",69,100
"280",2009-10-16,"Unknown",71,100
"281",2009-10-17,"Unknown",60,100
"282",2009-10-18,"Unknown",57,100
"283",2009-10-19,"Unknown",74,100
"284",2009-10-20,"Unknown",112,100
"285",2009-10-21,"Unknown",95,100
"286",2009-10-22,"Unknown",80,100
"287",2009-10-23,"Unknown",90,100
"288",2009-10-24,"Unknown",89,100
"289",2009-10-25,"Unknown",62,100
"290",2009-10-26,"Unknown",76,100
