"","Date","Pool","Number of Blocks","Percentage of Blocks"
"1",2011-02-27,"bitcoinPool",3,0.193050193050193
"2",2011-02-27,"DeepBit",3,0.193050193050193
"3",2011-03-06,"Unknown",1313,95.421511627907
"4",2011-03-06,"DeepBit",58,4.21511627906977
"5",2011-03-06,"bitcoinPool",5,0.363372093023256
"6",2011-03-13,"Unknown",1107,91.3366336633663
"7",2011-03-13,"DeepBit",99,8.16831683168317
"8",2011-03-13,"bitcoinPool",6,0.495049504950495
"9",2011-03-20,"DeepBit",81,9.49589683470106
"10",2011-03-20,"Unknown",769,90.1524032825322
"11",2011-03-20,"bitcoinPool",3,0.351699882766706
"12",2011-03-27,"DeepBit",135,13.18359375
"13",2011-03-27,"Unknown",877,85.64453125
"14",2011-03-27,"bitcoinPool",12,1.171875
"15",2011-04-03,"Unknown",1008,84.9199663016007
"16",2011-04-03,"DeepBit",158,13.3108677337826
"17",2011-04-03,"bitcoinPool",21,1.76916596461668
"18",2011-04-10,"Unknown",977,83.9347079037801
"19",2011-04-10,"DeepBit",166,14.2611683848797
"20",2011-04-10,"bitcoinPool",21,1.80412371134021
"21",2011-04-17,"DeepBit",223,19.1910499139415
"22",2011-04-17,"bitcoinPool",30,2.58175559380379
"23",2011-04-17,"Unknown",909,78.2271944922547
"24",2011-04-24,"Unknown",886,79.0365744870651
"25",2011-04-24,"DeepBit",214,19.0900981266726
"26",2011-04-24,"bitcoinPool",21,1.87332738626227
"27",2011-05-01,"DeepBit",277,21.556420233463
"28",2011-05-01,"Unknown",967,75.2529182879377
"29",2011-05-01,"bitcoinPool",41,3.19066147859922
"30",2011-05-08,"Unknown",972,68.4507042253521
"31",2011-05-08,"DeepBit",413,29.0845070422535
"32",2011-05-08,"bitcoinPool",35,2.46478873239437
"33",2011-05-15,"DeepBit",548,37.7931034482759
"34",2011-05-15,"Unknown",835,57.5862068965517
"35",2011-05-15,"bitcoinPool",42,2.89655172413793
"36",2011-05-15,"BTC Guild",16,1.10344827586207
"37",2011-05-15,"MTRed",9,0.620689655172414
"38",2011-05-22,"Unknown",879,54.1589648798521
"39",2011-05-22,"DeepBit",657,40.4805914972274
"40",2011-05-22,"bitcoinPool",38,2.34134319162046
"41",2011-05-22,"BTC Guild",46,2.83425754775108
"42",2011-05-22,"MTRed",3,0.184842883548983
"43",2011-05-29,"DeepBit",653,37.0601589103292
"44",2011-05-29,"Unknown",963,54.6538024971623
"45",2011-05-29,"BTC Guild",106,6.01589103291714
"46",2011-05-29,"bitcoinPool",36,2.04313280363224
"47",2011-05-29,"MTRed",4,0.227014755959137
"48",2011-06-05,"Unknown",616,47.8260869565217
"49",2011-06-05,"DeepBit",506,39.2857142857143
"50",2011-06-05,"BTC Guild",126,9.78260869565217
"51",2011-06-05,"bitcoinPool",36,2.79503105590062
"52",2011-06-05,"MTRed",4,0.31055900621118
"53",2011-06-12,"DeepBit",586,39.2498325519089
"54",2011-06-12,"Unknown",682,45.6798392498326
"55",2011-06-12,"BTC Guild",196,13.1279303415941
"56",2011-06-12,"bitcoinPool",23,1.54052243804421
"57",2011-06-12,"MTRed",4,0.267916945746818
"58",2011-06-12,"EclipseMC",2,0.133958472873409
"59",2011-06-19,"MTRed",31,2.00129115558425
"60",2011-06-19,"Unknown",666,42.9954809554551
"61",2011-06-19,"DeepBit",521,33.6346029696578
"62",2011-06-19,"BTC Guild",250,16.1394448030988
"63",2011-06-19,"bitcoinPool",33,2.13040671400904
"64",2011-06-19,"Eligius",40,2.5823111684958
"65",2011-06-19,"EclipseMC",3,0.193673337637185
"66",2011-06-19,"Polmine",5,0.322788896061975
"67",2011-06-26,"Unknown",582,37.093690248566
"68",2011-06-26,"Eligius",47,2.9955385595921
"69",2011-06-26,"DeepBit",529,33.7157425111536
"70",2011-06-26,"BTC Guild",349,22.2434671765456
"71",2011-06-26,"MTRed",31,1.97578075207138
"72",2011-06-26,"bitcoinPool",22,1.40216698534098
"73",2011-06-26,"Polmine",7,0.446144040790312
"74",2011-06-26,"EclipseMC",2,0.127469725940089
"75",2011-07-03,"Unknown",434,36.6863905325444
"76",2011-07-03,"DeepBit",396,33.4742180896027
"77",2011-07-03,"BTC Guild",283,23.9222316145393
"78",2011-07-03,"bitcoinPool",17,1.43702451394759
"79",2011-07-03,"Eligius",21,1.77514792899408
"80",2011-07-03,"MTRed",24,2.02874049027895
"81",2011-07-03,"EclipseMC",2,0.169061707523246
"82",2011-07-03,"Polmine",5,0.422654268808115
"83",2011-07-03,"Triplemining",1,0.084530853761623
"84",2011-07-10,"Unknown",472,43.8661710037175
"85",2011-07-10,"MTRed",29,2.69516728624535
"86",2011-07-10,"DeepBit",415,38.5687732342007
"87",2011-07-10,"BTC Guild",122,11.3382899628253
"88",2011-07-10,"BitMinter",1,0.0929368029739777
"89",2011-07-10,"bitcoinPool",13,1.20817843866171
"90",2011-07-10,"Triplemining",1,0.0929368029739777
"91",2011-07-10,"EclipseMC",5,0.464684014869888
"92",2011-07-10,"Eligius",12,1.11524163568773
"93",2011-07-10,"Polmine",5,0.464684014869888
"94",2011-07-10,"Itzod",1,0.0929368029739777
"95",2011-07-17,"Unknown",441,40.495867768595
"96",2011-07-17,"BTC Guild",153,14.0495867768595
"97",2011-07-17,"DeepBit",387,35.5371900826446
"98",2011-07-17,"Triplemining",8,0.734618916437098
"99",2011-07-17,"MTRed",31,2.84664830119376
"100",2011-07-17,"EclipseMC",5,0.459136822773186
"101",2011-07-17,"Eligius",33,3.03030303030303
"102",2011-07-17,"bitcoinPool",13,1.19375573921028
"103",2011-07-17,"Polmine",9,0.826446280991736
"104",2011-07-17,"Itzod",8,0.734618916437098
"105",2011-07-17,"BitMinter",1,0.0918273645546373
"106",2011-07-24,"Unknown",396,36.6666666666667
"107",2011-07-24,"DeepBit",418,38.7037037037037
"108",2011-07-24,"BTC Guild",181,16.7592592592593
"109",2011-07-24,"Triplemining",10,0.925925925925926
"110",2011-07-24,"MTRed",20,1.85185185185185
"111",2011-07-24,"Eligius",28,2.59259259259259
"112",2011-07-24,"Polmine",11,1.01851851851852
"113",2011-07-24,"EclipseMC",7,0.648148148148148
"114",2011-07-24,"Itzod",7,0.648148148148148
"115",2011-07-24,"bitcoinPool",2,0.185185185185185
"116",2011-07-31,"DeepBit",451,39.1493055555556
"117",2011-07-31,"Eligius",39,3.38541666666667
"118",2011-07-31,"BTC Guild",182,15.7986111111111
"119",2011-07-31,"Unknown",426,36.9791666666667
"120",2011-07-31,"Itzod",4,0.347222222222222
"121",2011-07-31,"bitcoinPool",9,0.78125
"122",2011-07-31,"BitMinter",1,0.0868055555555556
