date	Slush	Deepbit	BTC Guild	GHash.IO	Eligius	BitMinter	EclipseMC	OzCoin	ASICMiner	P2Pool	Mt.Red	Bitparking	Bitlc.net	Unknown	GuildMiners	MaxBTC	pool.itzod.ru	Polmine	betsofbitco.in	BTCMine	TripleMining	pool.mkalinin.ru	Masterpool.eu	Ars bitcoin	Mainframe Mining	BTC Warp	Metabank.ru	Donate@Home	RFC pool	Osmosis	nmcbit	BTCWorld	BTCServ	Bitclockers	CoinLab	BitPal	WorldBitcoinExchange	Toasty	RENCI	mndrix	Mineco.in	Lightfoot Hosting	Hendi	Bitcoinpool.com	Other
14-Dec-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
15-Dec-10	0.5503578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.4496422
16-Dec-10	1.2358393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.7641607
20-Dec-10	4.1305679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.8694321
19-Jan-11	12.3283563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.6716437
14-Feb-11	24.9605559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.0394441
23-Feb-11	13.7706176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.2293824
28-Feb-11	20.4433072	2.1669281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.3897647
5-Mar-11	17.4842625	6.8278678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.6878697
28-Mar-11	50.6389794	12.5243465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.8366741
